filename	upload_datetime	lastUpdate	Official Gene Symbol	annotation_2	Set ID	Accession #	Gene Name	Other Designations	Type	Age	Strain	Annotation	Template ID	Probe numbers	template_name	template_strand	template_length	template_seq	primer_frw	primer_rev	
Acsl3_Lung.png	2014-08-24T00:02:09.615994	11:20-02-24-2015																			
Acsl3_Whole.png	2014-08-24T00:02:13.073465	11:20-02-24-2015																			
Acsl4_Whole.png	2014-08-24T00:02:15.099701	11:20-02-24-2015																			
Acsl4_Lung.png	2014-08-24T00:02:18.664638	11:20-02-24-2015																			
Acsl5_Whole.png	2014-08-24T00:02:19.635119	11:20-02-24-2015																			
Acsl5_Lung.png	2014-08-24T00:02:30.557001	11:20-02-24-2015																			
Adh1_Whole.png	2014-08-24T00:02:31.874862	11:20-02-24-2015																			
Adcy2_Whole.png	2014-08-24T00:02:40.044567	11:20-02-24-2015																			
Adh1_Lung.png	2014-08-24T00:02:47.586391	11:20-02-24-2015																			
Adcy2_Lung.png	2014-08-24T00:02:48.609347	11:20-02-24-2015																			
Adh5_Lung.png	2014-08-24T00:02:57.547944	11:20-02-24-2015																			
Adh5_Whole.png	2014-08-24T00:02:59.557150	11:20-02-24-2015																			
Adk_Whole.png	2014-08-24T00:03:02.825615	11:20-02-24-2015																			
Adk_Lung.png	2014-08-24T00:03:04.125717	11:20-02-24-2015																			
Adsl_Whole.png	2014-08-24T00:03:17.611431	11:20-02-24-2015																			
Adsl_Lung.png	2014-08-24T00:03:27.904455	11:20-02-24-2015																			
Adss_Whole.png	2014-08-24T00:03:31.889568	11:20-02-24-2015																			
Aes_Whole.png	2014-08-24T00:03:33.618700	11:20-02-24-2015																			
Adss_Lung.png	2015-01-14T20:34:05.667163	11:20-02-24-2015																			
Aes_Lung.png	2014-08-24T00:03:38.970840	11:20-02-24-2015																			
Afmid_Whole.png	2014-08-24T00:03:44.084369	11:20-02-24-2015																			
Aff3_Lung.png	2014-08-24T00:03:50.952075	11:20-02-24-2015																			
Aff3_Whole.png	2014-08-24T00:03:52.949297	11:20-02-24-2015																			
Afmid_Lung.png	2014-08-24T00:03:54.036444	11:20-02-24-2015																			
Agpat5_Whole.png	2014-08-24T00:03:55.635011	11:20-02-24-2015																			
Agps_Lung.png	2014-08-24T00:04:03.412744	11:20-02-24-2015																			
